Genus,r.PS79.178.20m_p.fastq,r.PS79.178.60m_p.fastq,r.PS79.179.20m_p.fastq,r.PS79.179.60m_p.fastq,r.PS79.193.20m_p.fastq,r.PS79.193.60m_p.fastq,r.PS79.241.20m_p.fastq,r.PS79.241.60m_p.fastq,r.PS79.262.20m_p.fastq,r.PS79.262.60m_p.fastq,r.PS79.287.20m_p.fastq,r.PS79.287.60m_p.fastq,r.PS79.296.20m_p.fastq,r.PS79.296.60m_p.fastq,r.PS79.297.20m_p.fastq,r.PS79.297.60m_p.fastq,r.PS79.298.20m_p.fastq,r.PS79.298.60m_p.fastq,r.PS79.300.20m_p.fastq,r.PS79.300.60m_p.fastq,r.PS79.302.20m_p.fastq,r.PS79.302.60m_p.fastq,r.PS79.304.20m_p.fastq,r.PS79.304.70m_p.fastq,r.PS79.306.20m_p.fastq,r.PS79.306.60m_p.fastq,r.PS79.307.20m_p.fastq,r.PS79.307.60m_p.fastq,r.PS79.308.20m_p.fastq,r.PS79.310.20m_p.fastq,r.PS79.311.20m_p.fastq,r.PS79.311.60m_p.fastq,r.PS79.312.20m_p.fastq,r.PS79.312.60m_p.fastq,r.PS79.313.20m_p.fastq,r.PS79.314.20m_p.fastq,r.PS79.314.60m_p.fastq,r.PS79.315.20m_p.fastq,r.PS79.315.60m_p.fastq,r.PS79.317.20m_p.fastq,r.PS79.317.60m_p.fastq,r.PS79.318.20m_p.fastq,r.PS79.318.50m_p.fastq,r.PS79.319.20m_p.fastq,r.PS79.319.60m_p.fastq,r.PS79.320.20m_p.fastq,r.PS79.320.60m_p.fastq,r.PS79.321.20m_p.fastq,r.PS79.321.60m_p.fastq,r.PS79.322.20m_p.fastq,r.PS79.322.60m_p.fastq,r.PS79.323.20m_p.fastq,r.PS79.323.60m_p.fastq,r.PS79.324.20m_p.fastq,r.PS79.324.60m_p.fastq,r.PS79.326.20m_p.fastq,r.PS79.326.60m_p.fastq,r.PS79.329.20m_p.fastq,r.PS79.329.60m_p.fastq,r.PS79.330.20m_p.fastq,r.PS79.330.60m_p.fastq
Prochlorococcus_MIT9313_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,100,27,0,14,118,137,127,85,125,0,160,110,102,80,97,103,102,149,20,0,0,41,0,0,0,57,82,0,0,0,55,83,21,0,0,0,0,0,0,0,0
Sphingomonas_47,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,18,10,117,5,0,10,0,0,10,20,15,37,0,17,0,0,85,130,420,6,0,0,0,4,0,42,0,0,12,0,94,6,0,0,0,0,0,0,22,0,0,0,0,0,0,0
Unknown_48,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,24,0,42,0,0,0,13,0,0,0,0,0,0,0,0,0,0,101,0,220,0,81,52,0,58,74,0,0,0,59,0,41,17,0,30,50,0,0,117,0
Planktomarina_49,429,0,1440,11,0,0,0,0,0,0,0,24,19,130,151,98,40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,119,274,0,317,63,64,30,103,33,0,73,55,20,34,72,38,32,45,98,0,0,0,99,0,3,0,104,0,0,0,27,81,58,20,6,21,104,0,0,0,0
Unknown_51,0,0,0,0,0,0,0,0,0,0,0,0,133,219,102,79,335,242,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,1,23,0,20,15,0,0,0,102,24,34,15,18,13,13,0,11,232,0
Acinetobacter_52,0,0,32,0,0,0,0,37,15,27,0,9,192,101,25,490,24,148,0,3,0,0,0,0,1,0,0,0,0,0,0,23,9,123,6,0,0,9,13,0,71,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS2b_marine_group_53,227,25,25,44,0,0,0,0,0,0,0,0,39,120,46,118,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,63,7,298,0
Unknown_54,0,0,0,0,0,0,0,0,0,0,0,0,10,25,13,13,54,28,9,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,39,0,16,97,0,95,90,0,0,0,172,66,52,46,0,23,10,0,0,227,0
Ascidiaceihabitans_55,0,15,1087,0,0,0,0,22,30,36,22,7,14,170,172,32,30,22,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,8,0,0,0,0,7,3,30,0
